State,Licensee,Fiscal Year,Month Ending,Wagers,Patron Winnings,Cancelled Wagers,Monthly Resettlements (3),Online Sports Wagering Win/(Loss),Federal Excise Tax (4),Unadjusted Monthly Gaming Revenue,Promotional Coupons or Credits Wagered (5),Promotional Deduction (6),Total Gross Gaming Revenue,Payment (7)
Connecticut,"MPI Master Wagering License CT, LLC",2023/24,8/31/2023,37127221,33247151,196620,-11512,3694961,90348,3604613,648713,648713,2955900,406436
Connecticut,"Mohegan Digital, LLC",2023/24,8/31/2023,37621550,33644709,193465,58189,3725189,91098,3634091,989043,726818,2907273,399750
Connecticut,CT Lottery Corp,2023/24,8/31/2023,10162805,9166153,45952,9550,941150,25292,915858,233468,183172,732686,100744
Connecticut,"MPI Master Wagering License CT, LLC",2023/24,7/31/2023,39969518,35703399,198949,-220,4067391,98021,3969369,451851,451851,3517518,483659
Connecticut,"Mohegan Digital, LLC",2023/24,7/31/2023,36303549,31265390,220470,113,4817576,87629,4729947,1031661,945989,3783958,520294
Connecticut,CT Lottery Corp,2023/24,7/31/2023,9298914,8395848,51784,6546,844736,23118,821618,164324,164324,657294,90378
Connecticut,"MPI Master Wagering License CT, LLC",2022/23,6/30/2023,34553802,31141855,296858,39782,3075309,83570,2991738,684990,598348,2393390,329091
Connecticut,"Mohegan Digital, LLC",2022/23,6/30/2023,41151168,36116631,340402,32391,4661743,98380,4563363,1458610,912673,3650690,501970
Connecticut,CT Lottery Corp,2022/23,6/30/2023,8504508,7620868,85569,7647,790424,21047,769377,218504,153875,615502,84631
Connecticut,"MPI Master Wagering License CT, LLC",2022/23,5/31/2023,43701684,38145513,150176,-28271,5434265,105265,5329001,1256449,1065800,4263201,586190
Connecticut,"Mohegan Digital, LLC",2022/23,5/31/2023,48245027,40692399,159305,-4971,7398294,115444,7282851,1908286,1456570,5826281,801114
Connecticut,CT Lottery Corp,2022/23,5/31/2023,9728070,8790467,45974,1417,890211,24205,866006,267106,173201,692805,95261
Connecticut,"MPI Master Wagering License CT, LLC",2022/23,4/30/2023,49783242,44849186,227433,-109352,4815975,121357,4694618,802740,802740,3891878,535133
Connecticut,"Mohegan Digital, LLC",2022/23,4/30/2023,57181291,50502591,254356,-2508,6426852,138118,6288733,1679689,1257747,5030987,691761
Connecticut,CT Lottery Corp,2022/23,4/30/2023,11382353,10451186,52870,6625,871672,28324,843348,242860,168670,674678,92768
Connecticut,"MPI Master Wagering License CT, LLC",2022/23,3/31/2023,68839733,61688546,171172,146530,6833485,168668,6664817,931470,931470,5733347,788335
Connecticut,"Mohegan Digital, LLC",2022/23,3/31/2023,65687967,58128510,127340,41404,7390714,158755,7231959,2058723,1446392,5785567,795516
Connecticut,CT Lottery Corp,2022/23,3/31/2023,15702826,14419822,23778,3287,1255939,39198,1216741,319145,243348,973393,133842
Connecticut,"MPI Master Wagering License CT, LLC",2022/23,2/28/2023,57687441,53820465,123885,370199,3372892,139473,3233419,1532891,646684,2586735,355676
Connecticut,"Mohegan Digital, LLC",2022/23,2/28/2023,57179870,50730775,137599,112645,6198851,137482,6061369,2049352,1212274,4849095,666751
Connecticut,CT Lottery Corp,2022/23,2/28/2023,13346871,12666612,14674,1935,663650,33330,630320,290701,126064,504256,69335
Connecticut,"MPI Master Wagering License CT, LLC",2022/23,1/31/2023,72443757,65207806,888312,64651,6282987,175023,6107964,1342576,1221593,4886371,671876
Connecticut,"Mohegan Digital, LLC",2022/23,1/31/2023,67274953,57056212,881477,127060,9210202,160658,9049544,2130210,1809909,7239635,995450
Connecticut,CT Lottery Corp,2022/23,1/31/2023,16336822,15443541,17510,46,875724,40798,834926,378885,166985,667941,91842
Connecticut,"MPI Master Wagering License CT, LLC",2022/23,12/31/2022,67773378,62213083,64333,168505,5327456,166463,5160994,905734,905734,4255259,585098
Connecticut,"Mohegan Digital, LLC",2022/23,12/31/2022,68622351,60046697,211471,50835,8313348,166314,8147034,1885314,1629407,6517627,896174
Connecticut,CT Lottery Corp,2022/23,12/31/2022,13331276,12214333,11418,67,1105459,33300,1072159,297826,214432,857727,117937
Connecticut,"MPI Master Wagering License CT, LLC",2022/23,11/30/2022,69000492,62906213,124727,52706,5916846,169448,5747398,883084,883084,4864313,668843
Connecticut,"Mohegan Digital, LLC",2022/23,11/30/2022,69131840,59618119,207956,46597,9259168,167935,9091233,1749925,1749925,7341308,1009430
Connecticut,CT Lottery Corp,2022/23,11/30/2022,16321564,15004652,18950,3420,1294542,40757,1253785,268846,250757,1003028,137916
Connecticut,"MPI Master Wagering License CT, LLC",2022/23,10/31/2022,73377779,67349094,429916,48536,5550233,179171,5371062,1077408,1074212,4296849,590817
Connecticut,"Mohegan Digital, LLC",2022/23,10/31/2022,66256599,57720086,506360,-69005,8099159,159129,7940030,2098682,1588006,6352024,873403
Connecticut,CT Lottery Corp,2022/23,10/31/2022,13678763,12513987,88697,-683,1076761,33975,1042786,218616,208557,834229,114706
Connecticut,"MPI Master Wagering License CT, LLC",2022/23,9/30/2022,58313129,50936725,214091,18573,7143740,139135,7004605,2199505,1751151,5253454,722350
Connecticut,"Mohegan Digital, LLC",2022/23,9/30/2022,53792250,46180357,318486,14683,7278724,128040,7150685,2257935,1787671,5363014,737414
Connecticut,CT Lottery Corp,2022/23,9/30/2022,9480658,8307642,31622,-450,1141843,23623,1118221,211201,211201,907020,124715
Connecticut,"MPI Master Wagering License CT, LLC",2022/23,8/31/2022,29419669,25273683,169731,108792,3867463,71569,3795893,527939,527939,3267955,449344
Connecticut,"Mohegan Digital, LLC",2022/23,8/31/2022,35089662,30326314,378368,65525,4319456,84776,4234680,800957,800957,3433723,472137
Connecticut,CT Lottery Corp,2022/23,8/31/2022,8512696,7560957,35515,8498,907725,21193,886532,181008,181008,705524,97010
Connecticut,"MPI Master Wagering License CT, LLC",2022/23,7/31/2022,32725454,28975727,380201,72442,3297084,79371,3217713,477145,477145,2740568,376828
